Date,Price
Tue Dec 22 06:00:00 UTC 2020,22688.0
Tue Dec 22 06:10:00 UTC 2020,22640.0
Tue Dec 22 06:20:00 UTC 2020,22732.5
Tue Dec 22 06:30:00 UTC 2020,22806.5
Tue Dec 22 06:40:00 UTC 2020,22766.0
Tue Dec 22 06:50:00 UTC 2020,22803.0
Tue Dec 22 07:00:00 UTC 2020,22758.0
Tue Dec 22 07:10:00 UTC 2020,22806.5
Tue Dec 22 07:20:00 UTC 2020,22738.5
Tue Dec 22 07:30:00 UTC 2020,22756.5
Tue Dec 22 07:40:00 UTC 2020,22578.5
Tue Dec 22 07:50:00 UTC 2020,22580.5
Tue Dec 22 08:00:00 UTC 2020,22665.0
Tue Dec 22 08:10:00 UTC 2020,22612.0
Tue Dec 22 08:20:00 UTC 2020,22574.5
Tue Dec 22 08:30:00 UTC 2020,22465.0
Tue Dec 22 08:40:00 UTC 2020,22609.5
Tue Dec 22 08:50:00 UTC 2020,22664.5
Tue Dec 22 09:00:00 UTC 2020,22699.0
Tue Dec 22 09:10:00 UTC 2020,22780.0
Tue Dec 22 09:20:00 UTC 2020,22754.5
Tue Dec 22 09:30:00 UTC 2020,22725.0
Tue Dec 22 09:40:00 UTC 2020,22692.5
Tue Dec 22 09:50:00 UTC 2020,22655.5
Tue Dec 22 10:00:00 UTC 2020,22800.5
Tue Dec 22 10:10:00 UTC 2020,22772.0
Tue Dec 22 10:20:00 UTC 2020,22759.5
Tue Dec 22 10:30:00 UTC 2020,22735.0
Tue Dec 22 10:40:00 UTC 2020,22690.0
Tue Dec 22 10:50:00 UTC 2020,22665.5
Tue Dec 22 11:00:00 UTC 2020,22725.0
Tue Dec 22 11:10:00 UTC 2020,22770.0
Tue Dec 22 11:20:00 UTC 2020,22969.5
Tue Dec 22 11:30:00 UTC 2020,22954.0
Tue Dec 22 11:40:00 UTC 2020,22929.5
Tue Dec 22 11:50:00 UTC 2020,23024.5
Tue Dec 22 12:00:00 UTC 2020,23149.5
Tue Dec 22 12:10:00 UTC 2020,23172.0
Tue Dec 22 12:20:00 UTC 2020,23161.0
Tue Dec 22 12:30:00 UTC 2020,23152.0
Tue Dec 22 12:40:00 UTC 2020,23164.5
Tue Dec 22 12:50:00 UTC 2020,23284.5
Tue Dec 22 13:00:00 UTC 2020,23202.5
Tue Dec 22 13:10:00 UTC 2020,23210.5
Tue Dec 22 13:20:00 UTC 2020,23199.5
Tue Dec 22 13:30:00 UTC 2020,23160.0
Tue Dec 22 13:40:00 UTC 2020,23210.0
Tue Dec 22 13:50:00 UTC 2020,23425.0
Tue Dec 22 14:00:00 UTC 2020,23510.0
